X1,X2,X3,X4
39.08,51.21,11.07,9.68
26.02,48.95,14.11,25.56
45.94,21.15,17.84,25.40
37.04,13.82,15.40,14.08
18.83,7.68,8.61,27.87
14.58,26.63,7.58,25.86
41.25,9.24,14.75,28.62
47.37,134.34,22.16,28.69
41.92,70.81,20.09,12.98
39.01,98.31,9.34,26.30
29.04,216.34,14.60,26.97
19.56,27.73,10.93,27.23
13.85,15.12,17.62,11.42
49.08,171.07,11.39,11.53
34.45,120.76,13.71,12.45
27.62,11.75,15.86,10.09
31.54,32.10,19.44,28.88
33.12,168.85,21.71,27.28
39.24,24.93,18.09,29.21
35.56,13.67,12.40,12.59
37.39,71.11,16.41,13.33
24.03,18.77,19.98,28.05
28.39,150.79,12.87,11.59
23.46,66.00,17.25,9.27
16.51,16.64,11.34,13.45
36.54,26.78,11.05,28.28
16.80,6.94,20.62,10.18
18.73,14.38,21.31,24.19
37.99,49.64,13.74,11.99
18.43,145.19,21.03,10.33
32.42,3.70,16.96,13.69
16.24,21.43,13.17,28.49
42.77,54.17,14.82,27.72
18.68,19.04,11.92,27.51
35.64,86.32,13.36,29.22
34.64,190.43,16.12,9.13
35.79,94.12,15.33,11.30
21.34,63.35,9.01,26.08
22.82,44.24,12.88,28.68
23.75,72.43,14.70,28.61
23.23,22.65,11.02,26.56
45.54,77.99,17.45,28.30
18.21,50.27,12.38,27.63
28.19,168.72,14.19,11.65
17.82,177.49,15.89,12.73
19.30,20.59,13.88,28.26
42.28,25.32,12.81,9.68
44.47,23.17,11.29,28.90
33.52,93.60,12.53,10.25
40.81,5.68,10.39,30.91
31.97,267.97,14.24,28.21
31.96,60.47,14.87,11.82
18.70,7.63,18.64,9.62
20.25,137.54,13.39,11.43
38.66,74.18,20.57,28.34
45.13,24.18,14.59,12.02
36.92,53.27,9.47,27.28
25.77,159.23,19.06,26.21
22.21,11.03,13.39,28.28
43.16,7.26,5.80,11.62
33.74,21.88,14.25,29.58
32.11,26.05,11.68,26.15
29.38,56.83,11.94,25.30
39.41,49.46,12.76,28.71
46.27,36.52,11.07,26.37
18.45,24.95,19.07,9.83
43.12,154.53,16.53,10.09
28.07,0.86,17.33,13.80
21.47,3.95,16.44,28.58
26.86,117.11,6.78,10.64
32.04,3.72,6.44,10.65
35.31,462.24,14.56,28.44
49.49,6.78,14.81,13.62
41.86,166.26,10.58,26.22
47.42,44.09,11.63,13.95
31.59,118.15,14.61,27.42
35.32,118.49,16.34,13.42
44.60,46.03,21.99,28.13
44.42,12.07,17.49,30.96
18.53,43.63,17.46,28.33
40.27,4.13,19.16,9.73
45.07,63.40,15.13,27.44
36.54,187.48,11.10,13.79
24.26,31.07,14.01,31.27
43.40,83.80,8.12,8.91
20.25,56.55,13.95,12.15
33.77,35.90,13.42,9.36
22.89,21.96,17.11,9.60
33.54,105.38,16.55,25.00
29.27,307.99,12.06,27.08
20.52,90.77,9.57,13.69
39.93,4.99,20.69,28.03
17.98,97.47,18.33,11.92
15.25,127.22,17.91,31.99
23.54,37.30,12.79,27.98
39.44,6.08,7.70,28.41
39.04,31.03,15.08,26.85
18.48,36.09,18.63,11.25
26.16,116.77,10.50,11.99
34.66,153.93,18.60,11.86
49.27,118.11,9.24,11.09
31.69,137.29,12.22,28.65
32.21,103.15,15.65,8.41
41.20,17.54,16.61,13.98
31.09,77.39,15.93,26.97
38.38,57.21,8.92,9.11
38.17,94.23,14.14,11.33
16.00,49.62,9.83,27.45
45.72,33.84,26.48,10.51
19.09,32.79,15.25,10.12
46.20,182.21,10.25,10.68
30.33,77.68,19.98,11.20
25.38,36.29,17.90,28.75
49.11,69.22,11.08,11.62
15.26,95.87,16.99,12.92
25.11,103.44,11.35,29.65
19.76,10.46,17.58,11.70
18.84,167.74,11.96,28.77
14.16,75.19,10.38,9.54
